Staff_ID,Staff_FName,Staff_LName,Dept,Country,Email,Access_Role,Password
130001,John,Sim,Chariman,Singapore,john.sim@allinone.com.sg,1,YrH5db2l
130002,Jack,Sim,CEO,Singapore,jack.sim@allinone.com.sg,1,wsGC1hg6
140001,Derek,Tan,Sales,Singapore,Derek.Tan@allinone.com.sg,3,Ew7zlCnE
140002,Susan,Goh,Sales,Singapore,Susan.Goh@allinone.com.sg,2,MrXkmLRy
140003,Janice,Chan,Sales,Singapore,Janice.Chan@allinone.com.sg,2,NNFwTg8D
140004,Mary,Teo,Sales,Singapore,Mary.Teo@allinone.com.sg,2,VghMy3ZQ
140008,Jaclyn,Lee,Sales,Singapore,Jaclyn.Lee@allinone.com.sg,3,qpIvdJZB
140015,Oliva,Lim,Sales,Singapore,Oliva.Lim@allinone.com.sg,2,OAyWODx9
140025,Emma,Heng,Sales,Singapore,Emma.Heng@allinone.com.sg,2,S2SZqJHr
140036,Charlotte,Wong,Sales,Singapore,Charlotte.Wong@allinone.com.sg,2,41zgbpN9
140078,Amelia,Ong,Sales,Singapore,Amelia.Ong@allinone.com.sg,2,FP7P0jK8
140102,Eva,Yong,Sales,Singapore,Eva.Yong@allinone.com.sg,2,l8nd7u2L
140103,Sophia,Toh,Sales,Singapore,Sophia.Toh@allinone.com.sg,3,2RYy0NQ4
140108,Liam,The,Sales,Singapore,Liam.The@allinone.com.sg,2,kBjBL0WB
140115,Noah,Ng,Sales,Singapore,Noah.Ng@allinone.com.sg,2,JcAo0l00
140525,Oliver,Tan,Sales,Singapore,Oliver.Tan@allinone.com.sg,2,LEKpNyKG
140736,William,Fu,Sales,Singapore,William.Fu@allinone.com.sg,2,tviCZOrg
140878,James,Tong,Sales,Singapore,James.Tong@allinone.com.sg,2,lYhkJNyq
140879,Siti,Abdullah,Sales,Singapore,Siti.Abdullah@allinone.com.sg,3,v1fQqwsA
140880,Heng,Chan,Sales,Singapore,Heng.Chan@allinone.com.sg,2,fxfGCKuZ
140881,Rina,Tan,Sales,Singapore,Rina.Tan@allinone.com.sg,2,rnireVtB
140882,Boun,Souk,Sales,Singapore,Boun.Souk@allinone.com.sg,2,puFGMxeE
140883,Aung,Kyaw,Sales,Singapore,Aung.Kyaw@allinone.com.sg,2,xWcEBDl0
140886,Thuy,Nguyen,Sales,Singapore,Thuy.Nguyen@allinone.com.sg,2,rVmr9SFK
140887,Rajesh,Kumar,Sales,Singapore,Rajesh.Kumar@allinone.com.sg,2,zr51o5FM
140888,Koh,Lim,Sales,Singapore,Koh.Lim@allinone.com.sg,2,AsYutTiX
140889,Somchai,Somboon,Sales,Singapore,Somchai.Somboon@allinone.com.sg,2,Q8mR3215
140890,Seng,Lee,Sales,Singapore,Seng.Lee@allinone.com.sg,2,Jx9fyf8T
140891,Anh,Tran,Sales,Singapore,Anh.Tran@allinone.com.sg,2,PKDJMedl
140892,Ratana,Chen,Sales,Singapore,Ratana.Chen@allinone.com.sg,2,cuQevIqk
140893,Bui,Nguyen,Sales,Singapore,Bui.Nguyen@allinone.com.sg,2,DukDa4Ch
140894,Rahim,Khalid,Sales,Singapore,Rahim.Khalid@allinone.com.sg,3,CyEsOppX
140895,Dewi,Putri,Sales,Singapore,Dewi.Putri@allinone.com.sg,2,aEgwEYP7
140898,Sokha,Seng,Sales,Singapore,Sokha.Seng@allinone.com.sg,2,eEem3m26
140900,Tuan,Nguyen,Sales,Singapore,Tuan.Nguyen@allinone.com.sg,2,X2NJdyFH
140901,Bao,Luu,Sales,Singapore,Bao.Luu@allinone.com.sg,2,IcoKnCGD
140903,Amara,Singh,Sales,Malaysia,Amara.Singh@allinone.com.my,2,BUls6KE3
140904,Srey,Mao,Sales,Malaysia,Srey.Mao@allinone.com.my,2,a7fki5U1
140905,Phuc,Le,Sales,Malaysia,Phuc.Le@allinone.com.my,2,UzVeOrH7
140908,Arifin,Saputra,Sales,Malaysia,Arifin.Saputra@allinone.com.my,2,36ygQ7UV
140909,Siti,Salleh,Sales,Malaysia,Siti.Salleh@allinone.com.my,2,XqlvIUBf
140910,Rina,Siriporn,Sales,Indonesia ,Rina.Siriporn@allinone.com.id,2,vzISSOO3
140911,Minh,Ly,Sales,Indonesia ,Minh.Ly@allinone.com.id,2,oObEYpG3
140912,Chandara,Kim,Sales,Indonesia ,Chandara.Kim@allinone.com.id,2,Sz32yNVl
