Staff_ID,Staff_FName,Staff_LName,Dept,Country,Email,Access_Role,Password
130001,John,Sim,Chariman,Singapore,john.sim@allinone.com.sg,1,PKRxChfr
130002,Jack,Sim,CEO,Singapore,jack.sim@allinone.com.sg,1,Wz1YW5B7
140001,Derek,Tan,Sales,Singapore,Derek.Tan@allinone.com.sg,3,eFYcAiiO
140002,Susan,Goh,Sales,Singapore,Susan.Goh@allinone.com.sg,2,nCK8Xe18
140003,Janice,Chan,Sales,Singapore,Janice.Chan@allinone.com.sg,2,IlWb2iKD
140004,Mary,Teo,Sales,Singapore,Mary.Teo@allinone.com.sg,2,iwByVfRA
140008,Jaclyn,Lee,Sales,Singapore,Jaclyn.Lee@allinone.com.sg,3,dJyIerKB
140015,Oliva,Lim,Sales,Singapore,Oliva.Lim@allinone.com.sg,2,5aJaP9d5
140025,Emma,Heng,Sales,Singapore,Emma.Heng@allinone.com.sg,2,MwLQccWv
140036,Charlotte,Wong,Sales,Singapore,Charlotte.Wong@allinone.com.sg,2,DksZNtkS
140078,Amelia,Ong,Sales,Singapore,Amelia.Ong@allinone.com.sg,2,RZlym4PZ
140102,Eva,Yong,Sales,Singapore,Eva.Yong@allinone.com.sg,2,CRMfB786
140103,Sophia,Toh,Sales,Singapore,Sophia.Toh@allinone.com.sg,3,XZcVUhIZ
140108,Liam,The,Sales,Singapore,Liam.The@allinone.com.sg,2,NokvbWBt
140115,Noah,Ng,Sales,Singapore,Noah.Ng@allinone.com.sg,2,kbRFCm4S
140525,Oliver,Tan,Sales,Singapore,Oliver.Tan@allinone.com.sg,2,4tetTM0X
140736,William,Fu,Sales,Singapore,William.Fu@allinone.com.sg,2,4GP9bfGg
140878,James,Tong,Sales,Singapore,James.Tong@allinone.com.sg,2,o9LjFbvl
140879,Siti,Abdullah,Sales,Singapore,Siti.Abdullah@allinone.com.sg,3,44SmnUQ8
140880,Heng,Chan,Sales,Singapore,Heng.Chan@allinone.com.sg,2,mqITQzfn
140881,Rina,Tan,Sales,Singapore,Rina.Tan@allinone.com.sg,2,m2iMIIKk
140882,Boun,Souk,Sales,Singapore,Boun.Souk@allinone.com.sg,2,uuuh2VAx
140883,Aung,Kyaw,Sales,Singapore,Aung.Kyaw@allinone.com.sg,2,C2gvdAmb
140886,Thuy,Nguyen,Sales,Singapore,Thuy.Nguyen@allinone.com.sg,2,DwuF9sOW
140887,Rajesh,Kumar,Sales,Singapore,Rajesh.Kumar@allinone.com.sg,2,sjiycl1Z
140888,Koh,Lim,Sales,Singapore,Koh.Lim@allinone.com.sg,2,KzXmxUfi
140889,Somchai,Somboon,Sales,Singapore,Somchai.Somboon@allinone.com.sg,2,h7SVhhH5
140890,Seng,Lee,Sales,Singapore,Seng.Lee@allinone.com.sg,2,G9MsDjX1
140891,Anh,Tran,Sales,Singapore,Anh.Tran@allinone.com.sg,2,p7UNSZDI
140892,Ratana,Chen,Sales,Singapore,Ratana.Chen@allinone.com.sg,2,zUAnCztK
140893,Bui,Nguyen,Sales,Singapore,Bui.Nguyen@allinone.com.sg,2,tgMtuMu0
140894,Rahim,Khalid,Sales,Singapore,Rahim.Khalid@allinone.com.sg,3,M8BFm2wN
140895,Dewi,Putri,Sales,Singapore,Dewi.Putri@allinone.com.sg,2,fR1qNfBM
140898,Sokha,Seng,Sales,Singapore,Sokha.Seng@allinone.com.sg,2,7kqbbAJF
140900,Tuan,Nguyen,Sales,Singapore,Tuan.Nguyen@allinone.com.sg,2,k607Sm7d
140901,Bao,Luu,Sales,Singapore,Bao.Luu@allinone.com.sg,2,5jAXeptW
140903,Amara,Singh,Sales,Malaysia,Amara.Singh@allinone.com.my,2,7KrXhGHD
140904,Srey,Mao,Sales,Malaysia,Srey.Mao@allinone.com.my,2,dndoHxLz
140905,Phuc,Le,Sales,Malaysia,Phuc.Le@allinone.com.my,2,B9hwhoy5
140908,Arifin,Saputra,Sales,Malaysia,Arifin.Saputra@allinone.com.my,2,9suAhIWm
140909,Siti,Salleh,Sales,Malaysia,Siti.Salleh@allinone.com.my,2,MXIzbPuF
140910,Rina,Siriporn,Sales,Indonesia ,Rina.Siriporn@allinone.com.id,2,A5jomzsQ
140911,Minh,Ly,Sales,Indonesia ,Minh.Ly@allinone.com.id,2,JrXE8k1A
140912,Chandara,Kim,Sales,Indonesia ,Chandara.Kim@allinone.com.id,2,cEscuf1G
140917,Heng,Phan,Sales,Indonesia ,Heng.Phan@allinone.com.id,2,WY1lBFaI
140918,Nara,Khun,Sales,Indonesia ,Nara.Khun@allinone.com.id,2,LpKwBKA4
140919,Priya,Malik,Sales,Indonesia ,Priya.Malik@allinone.com.id,2,9VjUKhnW
140923,Ngoc,Trinh,Sales,Vietnam,Ngoc.Trinh@allinone.com.vn,2,OqCA9TRU
140924,Manoj,Kumar,Sales,Vietnam,Manoj.Kumar@allinone.com.vn,2,ZtaquUmX
140925,Anh,Pham,Sales,Vietnam,Anh.Pham@allinone.com.vn,2,lApI3BPW
